Product_ID,SKU,Product_Name,Product_Brand,Product_Category_Name,Product_Category_ID
P00069042,APP-SAM-919,Samsung Appliances 179,Samsung,Appliances,6
P00248942,COMP-DEL-778,Dell Computers 379,Dell,Computers,13
P00087842,COMP-ASU-520,Asus Computers 681,Asus,Computers,14
P00085442,MOB-APP-420,Apple Mobile 909,Apple,Mobile,4
P00285442,COMP-ASU-158,Asus Computers 537,Asus,Computers,14
P00193542,ELEC-SON-739,Sony Electronics 732,Sony,Electronics,7
P00184942,ELEC-SON-463,Sony Electronics 513,Sony,Electronics,7
P00346142,COMP-ASU-707,Asus Computers 772,Asus,Computers,14
P0097242,ELEC-TOS-741,Toshiba Electronics 925,Toshiba,Electronics,16
P00274942,COMP-DEL-453,Dell Computers 728,Dell,Computers,13
P00251242,MOB-APP-366,Apple Mobile 194,Apple,Mobile,4
P00014542,MOB-APP-575,Apple Mobile 370,Apple,Mobile,4
P00031342,ENT-SON-963,Sony Entertainment 276,Sony,Entertainment,8
P00145042,ELEC-APP-927,Apple Electronics 305,Apple,Electronics,3
P00231342,HLT-PHI-468,Philips Health 509,Philips,Health,10
P00190242,APP-PHI-119,Philips Appliances 962,Philips,Appliances,9
P0096642,COMP-DEL-786,Dell Computers 176,Dell,Computers,13
P00058442,COMP-DEL-947,Dell Computers 969,Dell,Computers,13
P00036842,ELEC-SAM-728,Samsung Electronics 721,Samsung,Electronics,5
P00249542,COMP-DEL-543,Dell Computers 163,Dell,Computers,13
P00220442,COMP-DEL-320,Dell Computers 335,Dell,Computers,13
P00156442,COMP-HP-724,HP Computers 669,HP,Computers,1
P00213742,ELEC-HP-228,HP Electronics 228,HP,Electronics,2
P00214442,ELEC-HP-765,HP Electronics 498,HP,Electronics,2
P00303442,ELEC-HP-160,HP Electronics 764,HP,Electronics,2
P00135742,COMP-HP-923,HP Computers 644,HP,Computers,1
P00039942,ENT-SON-223,Sony Entertainment 573,Sony,Entertainment,8
P00161442,ELEC-SON-766,Sony Electronics 841,Sony,Electronics,7
P00078742,ELEC-SON-552,Sony Electronics 717,Sony,Electronics,7
P00085942,APP-LG-214,LG Appliances 746,LG,Appliances,11
